tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1998-329,Tokyo,Hard,56,A,19980413,2,102118,,,Radomir Vasek,R,188,CZE,25.5,102205,,,Sebastien Lareau,R,183,CAN,24.9,6-4 4-6 7-6(5),3,R64,143,13,10,127,75,57,21,16,8,11,13,2,126,89,57,20,16,9,12,115,423,99,470
1974-560,US Open,Grass,128,G,19740828,114,100092,13,,Alex Metreveli,R,,RUS,29.8,100084,6,,Tom Okker,R,178,NED,30.5,6-1 6-3 7-6,5,R16,,,,,,,,,,,,,,,,,,,,15,,5,
1985-540,Wimbledon,Grass,128,G,19850624,264,100893,7,,Joakim Nystrom,R,188,SWE,22.3,100901,,,Paul Annacone,R,185,USA,22.2,7-5 7-5 6-3,5,R64,,,,,,,,,,,,,,,,,,,,8,,25,
1973-2050,Newport,Grass,64,A,19730709,258,100305,,,Mark Farrell,R,,GBR,20.1,110162,,,U Pickthall,U,,UNK,,6-1 6-1,3,R64,,,,,,,,,,,,,,,,,,,,,,,
1969-311,London / Queen's Club,Grass,128,A,19690616,9,100084,,,Tom Okker,R,178,NED,25.3,100123,,,Patrick Hombergen,R,,BEL,22.7,6-1 6-2,3,R128,,,,,,,,,,,,,,,,,,,,,,,
2012-451,Doha,Hard,32,A,20120102,21,105077,,,Albert Ramos,L,188,ESP,23.9,104166,6,,Alex Bogomolov Jr,R,178,RUS,28.6,W/O,3,R16,,,,,,,,,,,,,,,,,,,,66,709,34,1135
1975-520,Roland Garros,Clay,128,G,19750604,125,100282,4,,Guillermo Vilas,L,180,ARG,22.7,100232,10,,Eddie Dibbs,R,170,USA,24.2,6-1 6-4 1-6 6-1,5,SF,,,,,,,,,,,,,,,,,,,,3,0,29,0
2000-360,Casablanca,Clay,32,A,20000410,20,101843,,WC,Sergi Bruguera,R,188,ESP,29.2,102024,,,Hernan Gumy,R,188,ARG,28.0,6-2 7-6(4),3,R16,108,4,0,65,42,26,15,10,3,6,0,4,73,43,25,12,10,4,9,326,88,75,553
2006-422,Cincinnati Masters,Hard,64,M,20060814,49,104918,,,Andy Murray,R,190,GBR,19.2,104068,15,,Robby Ginepri,R,183,USA,23.8,7-6(3) 2-6 6-4,3,R16,127,10,4,86,30,24,29,15,3,7,9,2,108,67,49,17,15,6,9,21,1210,18,1355
1991-419,Indianapolis,Hard,56,A,19910812,23,101549,,,Rodolphe Gilbert,L,183,FRA,22.6,101774,,WC,Todd Martin,R,198,USA,21.0,6-7(5) 6-4 6-4,3,R64,150,4,4,109,53,43,34,16,7,7,13,6,115,53,42,32,16,10,12,93,394,150,225
