tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2021-9651,Florianopolis CH,Clay,32,C,20211206,283,126197,,,Orlando Luz,R,180,BRA,23.8,106232,,,Roberto Cid,R,193,DOM,28.2,6-4 6-7(7) 6-3,3,R32,169,3,5,110,67,41,22,16,6,11,1,9,108,67,38,19,15,4,11,300,175,296,176
1998-227,Ulm CH,Clay,32,C,19980629,11,101761,,,Jaime Oncins,R,196,BRA,28.0,103118,,,Ion Moldovan,R,188,ROU,20.4,7-6 7-5,3,R32,,,,,,,,,,,,,,,,,,,,215,190,160,296
2022-6204,Ortisei CH,Hard,32,C,20221024,280,106348,,Q,Evgeny Karlovskiy,R,191,RUS,28.2,105376,,,Peter Gojowczyk,R,185,GER,33.2,6-2 6-1,3,R32,62,3,0,50,30,20,16,8,2,2,3,1,55,29,16,11,7,4,8,317,156,222,236
2002-447,Samarkand CH,Clay,32,C,20020923,24,102087,2,,Oleg Ogorodov,R,193,UZB,30.1,103824,,,Orest Tereshchuk,R,,UKR,21.0,6-4 6-4,3,R16,,,,,,,,,,,,,,,,,,,,134,298,397,63
2022-0398,Cherbourg CH,Hard,32,C,20220207,291,200267,,,Zizou Bergs,R,185,BEL,22.6,110602,4,,Dennis Novak,R,183,AUT,28.4,7-5 6-2,3,R16,81,7,0,64,42,30,15,10,6,6,3,2,61,37,23,15,10,7,10,188,347,128,561
1983-262,Sydney CH,Hard,32,C,19831017,290,101145,6,,Jonathan Canter,R,185,USA,18.3,100265,11,,Cliff Letcher,R,,AUS,31.6,6-1 7-6,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2009-504,Wolfsburg CH,Carpet,32,C,20090223,21,103103,,,Dominik Hrbaty,R,183,SVK,31.1,104628,7,,Alexander Kudryavtsev,R,183,RUS,23.3,6-3 6-7(7) 6-4,3,R16,,,,,,,,,,,,,,,,,,,,184,454,214,369
2012-467,Aptos CH,Hard,32,C,20120806,23,104857,,,Robert Farah,R,193,COL,25.5,104804,,,Amir Weintraub,R,188,ISR,25.8,7-6(2) 6-3,3,R16,97,10,1,68,50,36,12,11,3,4,3,2,74,46,29,14,10,5,7,205,245,211,238
2001-887,Sopot CH,Clay,32,C,20010813,2,103970,,,David Ferrer,R,175,ESP,19.3,103296,,,Ivaylo Traykov,R,188,BUL,22.6,6-4 3-6 7-5,3,R32,,,,,,,,,,,,,,,,,,,,355,78,292,108
2012-407,Rotterdam,Hard,32,A,20120213,711,103908,,WC,Paul Henri Mathieu,R,185,FRA,30.0,105318,7,,Thomas Schoorel,L,203,NED,22.8,6-1 6-4,3,Q2,94,10,2,63,34,25,16,9,6,7,4,2,69,37,19,14,8,9,13,733,20,139,400
2023-6307,Campinas CH,Clay,32,C,20231002,283,126504,,,Andrea Pellegrino,R,185,ITA,26.5,105477,,,Marco Trungelliti,R,178,ARG,33.6,6-4 1-0 RET,3,R32,49,1,1,27,15,13,9,5,0,0,2,3,42,22,14,9,6,6,8,191,321,236,267
2014-429,Stockholm,Hard,28,A,20141013,713,106035,,,Isak Arvidsson,R,188,SWE,22.1,104672,4,,Vincent Millot,L,173,FRA,28.7,6-2 6-2,3,Q1,61,5,0,52,29,24,13,8,1,1,1,2,48,27,14,10,8,0,4,499,72,163,327
2010-440,s Hertogenbosch,Grass,28,A,20100613,720,104460,2,,Dustin Brown,R,196,GER,25.5,104967,8,,Alexander Sadecky,L,193,SUI,22.9,6-4 6-7(3) 7-6(1),3,Q3,110,17,2,99,64,52,24,17,0,0,9,6,124,83,60,24,17,9,10,105,490,381,93
2008-447,Samarkand CH,Clay,32,C,20080804,28,104797,2,,Denis Istomin,R,188,UZB,21.9,104707,,,Denis Matsukevitch,R,190,RUS,22.3,6-4 6-4,3,QF,,,,,,,,,,,,,,,,,,,,141,326,349,96
2019-9028,Manerbio CH,Clay,64,C,20190805,288,105948,4,,Federico Coria,R,180,ARG,27.4,105691,,,Scott Griekspoor,R,,NED,28.5,7-5 6-1,3,R16,82,3,2,63,52,34,7,10,5,6,3,1,53,34,20,8,9,2,6,163,334,421,78
2018-2273,Orleans CH,Hard,32,C,20180924,239,105778,,,Tobias Simon,R,,GER,27.3,105047,7,,Tim Puetz,R,185,GER,30.8,6-2 4-6 7-6(3),3,Q1,118,22,4,102,69,54,17,15,5,6,12,5,100,66,49,17,15,3,5,432,88,322,147
2022-6857,Mouilleron Le Captif CH,Hard,32,C,20221003,282,104932,,LL,Kenny De Schepper,L,203,FRA,35.3,104468,,,Gilles Simon,R,183,FRA,37.7,7-6(5) 6-6 RET,3,R32,115,7,1,75,62,47,5,12,4,5,2,0,77,43,32,21,12,2,3,338,137,169,322
1995-369,Budapest CH,Clay,32,C,19950911,2,102087,,,Oleg Ogorodov,R,193,UZB,23.1,101745,,,Roberto Jabali,R,190,BRA,25.3,6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,,163,260,178,232
2001-845,Mantova CH,Clay,32,C,20010709,7,104043,,,Marc Lopez,R,175,ESP,18.9,101997,,,Marzio Martelli,R,180,ITA,29.5,7-6(6) 7-5,3,R32,,,,,,,,,,,,,,,,,,,,246,141,348,82
